file,campaign,episode,actor,word_count,vocabulary,anger_norm,anticipation_norm,disgust_norm,fear_norm,joy_norm,sadness_norm,surprise_norm,trust_norm,matt_cnt,marisha_cnt,travis_cnt,laura_cnt,sam_cnt,liam_cnt,ashley_cnt,taliesin_cnt,orion_cnt
C1E017_FINAL_SAM_treated.txt,C1,17,SAM,2155,499,0.10010646562886655,0.15284531791020436,0.02881286028064723,0.1630794463787299,0.1932351163928294,0.09498460564555578,0.06714048667261338,0.1997957010905533,0,3,10,0,9,0,5,1,0
C1E018_FINAL_SAM_treated.txt,C1,18,SAM,2137,486,0.06085038789374407,0.17996284162305523,0.05784367953027274,0.13755690762881337,0.19260661759491698,0.07706817569388305,0.06272958062091365,0.23138180941440098,0,0,5,1,2,0,0,2,0
C1E019_FINAL_SAM_treated.txt,C1,19,SAM,2012,461,0.10345084423360089,0.151658387619817,0.04663767567908237,0.16817637520984088,0.17101817952640416,0.07192744231882066,0.06665062422294414,0.22048047118948988,1,0,3,1,3,0,1,1,0
C1E023_FINAL_SAM_treated.txt,C1,23,SAM,1903,467,0.08764615816908759,0.16952340537781777,0.06252903092617973,0.09640848018442168,0.23897971705957577,0.05713859722564699,0.061278909067971066,0.2264957019892994,2,0,6,0,0,0,11,0,4
C1E024_FINAL_SAM_treated.txt,C1,24,SAM,2018,471,0.054002230954863256,0.19900700636478302,0.02865245951837621,0.1100166957079636,0.19744679610093246,0.11080409154205642,0.04846858800971122,0.2516021318013138,0,3,2,0,1,6,4,4,4
C1E025_FINAL_SAM_treated.txt,C1,25,SAM,1658,402,0.10352861915054881,0.17825562136821718,0.06820032001796593,0.12218931589141845,0.16853577744715495,0.0934999859641243,0.05099935434971788,0.21479100581085253,2,1,0,2,1,5,1,0,1
C1E026_FINAL_SAM_treated.txt,C1,26,SAM,2478,578,0.10886909991214758,0.15677262199504838,0.06162846418017729,0.1563094002076511,0.13052471847296535,0.11447168756489096,0.058190240396134484,0.21323376727098484,4,5,4,1,1,0,0,6,3
C1E027_FINAL_SAM_treated.txt,C1,27,SAM,1394,357,0.1479781990141466,0.12876207269666973,0.10337434376628062,0.1699795615757624,0.10645012623732618,0.12657796657716505,0.04304091692381677,0.1738368132088326,0,0,1,0,0,1,1,4,4
C1E028_FINAL_SAM_treated.txt,C1,28,SAM,2737,561,0.11008541970690157,0.1582047125819378,0.07790448394042959,0.13840179110437176,0.15403592666359278,0.06858769899179078,0.06672909546377148,0.2260508715472042,2,0,7,2,2,1,1,7,1
C1E029_FINAL_SAM_treated.txt,C1,29,SAM,3581,650,0.11914543666756053,0.13996960758022708,0.07156520961830697,0.15997854652721913,0.140677572181997,0.09013319031018148,0.07590596227764368,0.20262447483686422,5,2,7,6,2,3,0,6,0
C1E030_FINAL_SAM_treated.txt,C1,30,SAM,2556,578,0.08861440423727063,0.13118883578507443,0.07160221794633065,0.14656135559555583,0.20698591024765686,0.07026255353485196,0.04711584217822192,0.2376688804750377,3,0,2,2,3,1,1,2,0
C1E031-1_FINAL_SAM_treated.txt,C1,Others,SAM,2067,406,0.1791050462589613,0.15502625680232157,0.08710781481175746,0.17850180654419842,0.13324612815351497,0.06729615260059815,0.08061822545925591,0.11909856936939228,3,0,0,0,0,0,0,0,0
C1E031-2_FINAL_SAM_treated.txt,C1,Others,SAM,587,162,0.12001196274459541,0.16566265060240964,0.07072972742031958,0.1970648551653422,0.1719430915149962,0.03526873451251816,0.05607536529095104,0.18324361274886783,2,0,0,0,0,0,0,1,0
C1E032_FINAL_SAM_treated.txt,C1,32,SAM,2385,513,0.13787154215509032,0.13990299566493655,0.053770338834781606,0.15812289807740906,0.19329425944285686,0.07087245582317608,0.07378841779903189,0.17237709220271774,4,0,9,2,0,1,22,4,0
C1E033-1_FINAL_SAM_treated.txt,C1,Others,SAM,1219,283,0.1418949355413029,0.13650013942813016,0.06501640961839592,0.1762586070057273,0.1485016838628027,0.1088611939338038,0.031006671099766188,0.19196035951007093,1,1,8,2,0,2,0,1,0
C1E033-2_FINAL_SAM_treated.txt,C1,Others,SAM,1793,420,0.16979462632102485,0.10889696143679141,0.08162188600854028,0.18846346195063776,0.14121157830524123,0.11381010216474959,0.06359054962327092,0.13261083418974393,2,6,6,2,0,4,0,8,0
C1E034_FINAL_SAM_treated.txt,C1,34,SAM,2857,514,0.15728490061399847,0.12344390044517113,0.06299481966572183,0.1484570067797514,0.17650456278156398,0.10809393909775106,0.053913684790431946,0.16930718582561022,0,2,6,2,0,5,24,11,0
C1E035-1_FINAL_SAM_treated.txt,C1,Others,SAM,1531,366,0.1542926115205834,0.13645060222399136,0.10014381468450653,0.15564087418783226,0.16536120598885434,0.0881314363491615,0.06140373404555843,0.13857572099951204,3,1,3,0,1,0,7,7,0
C1E035-2_FINAL_SAM_treated.txt,C1,Others,SAM,605,185,0.1147661556654793,0.1531849843526918,0.0232041649240709,0.16101584920898168,0.1929017464414993,0.08452430740831543,0.07369377424611702,0.19670901775284463,0,0,4,0,0,0,3,4,0
C1E036_FINAL_SAM_treated.txt,C1,36,SAM,1780,516,0.10307751041316475,0.13624579057430528,0.07348759821993288,0.1175676214679286,0.197060951914256,0.06760722283317855,0.05542481723542584,0.2495284873418082,0,2,7,1,2,3,3,3,0
C1E037_FINAL_SAM_treated.txt,C1,37,SAM,3721,745,0.08800343987387126,0.15336104342840756,0.05415538272368608,0.08772809909250698,0.20194171827734736,0.06808838061902643,0.061993165513755735,0.2847287704713985,1,6,6,1,1,0,7,0,1
C1E038_FINAL_SAM_treated.txt,C1,38,SAM,2529,539,0.08086838113088368,0.15014937273805146,0.05714478023827152,0.1408659994511782,0.20128817806680094,0.0833277243050414,0.04842058392573301,0.2379349801440398,2,2,7,2,0,4,7,1,0
C1E039_FINAL_SAM_treated.txt,C1,39,SAM,3967,702,0.12581519610147449,0.11911813096413296,0.0986446042714552,0.16241244770366187,0.12975759570034,0.12584340086808005,0.05294034691862926,0.18546827747222608,4,2,9,4,3,6,8,7,0
C1E041_FINAL_SAM_treated.txt,C1,41,SAM,1362,332,0.09884595599297287,0.17325219113065252,0.020246726649778217,0.21302740005241244,0.14175620456376362,0.07032000698832368,0.059682225392850556,0.22286928922924618,0,0,2,2,2,0,4,1,0
C1E042_FINAL_SAM_treated.txt,C1,42,SAM,2837,577,0.10376245786940377,0.1379287969066695,0.05482416798036514,0.1778932220792952,0.1510861391769695,0.12490886813266511,0.06219487523999649,0.1874014726146353,1,3,3,2,2,4,4,3,0
C1E043_FINAL_SAM_treated.txt,C1,43,SAM,1946,451,0.14560749420389746,0.11538421371430958,0.07482193955343902,0.1817991937673622,0.1418791904254653,0.10863775925809888,0.042917267163773844,0.18895294191365383,0,1,19,3,2,4,0,3,0
C1E044_FINAL_SAM_treated.txt,C1,44,SAM,2136,492,0.08015567890337601,0.18943895171465974,0.06618722935388516,0.11036733823433587,0.198786794542945,0.06594435130828331,0.06360442867382662,0.2255152272686883,3,3,7,4,1,7,0,3,0
C1E045_FINAL_SAM_treated.txt,C1,45,SAM,1557,370,0.10900321238711634,0.12547261890096562,0.06121540050602203,0.13536563409110292,0.17360156923689227,0.13617109988723478,0.04004586417003857,0.21912460082062743,0,1,11,1,1,2,0,0,0
C1E046_FINAL_SAM_treated.txt,C1,46,SAM,1978,412,0.10856276617208417,0.1423001630431819,0.06769291171129904,0.15322242034604414,0.1736600740510505,0.07637400688162192,0.06051137757856337,0.21767628021615487,0,1,4,2,2,3,0,0,0
C1E047_FINAL_SAM_treated.txt,C1,47,SAM,3224,622,0.055238912288547444,0.15074450462948172,0.030450992292563164,0.16860531443513022,0.19733137415065327,0.09248467867426612,0.06514130300859271,0.24000292052076533,3,1,15,3,1,2,2,0,0
C1E048_FINAL_SAM_treated.txt,C1,48,SAM,2180,514,0.08096949740470295,0.1752422486709315,0.03406563022358515,0.14812045194615855,0.21781643143514268,0.07005416818530295,0.05066799049857354,0.2230635816356027,2,4,6,2,0,3,13,1,0
C1E049_FINAL_SAM_treated.txt,C1,49,SAM,3106,571,0.13438795493272968,0.1634375238434345,0.07179734988173658,0.14729265749383255,0.1613672779063557,0.08690454996312216,0.06549505328212822,0.16931763269666064,7,3,2,0,1,1,4,0,0
C1E050_FINAL_SAM_treated.txt,C1,50,SAM,2609,515,0.08898749124591691,0.16178567959800227,0.048562796808146284,0.12067088225822123,0.2080941402595809,0.047034346677026745,0.06964927436957823,0.25521538878352745,2,0,11,0,1,3,12,0,0
C1E051_FINAL_SAM_treated.txt,C1,51,SAM,3103,686,0.09902407876889599,0.16377945615910958,0.071722465079551,0.12243031967748882,0.1577795997325001,0.08182171963139419,0.04859203621072039,0.2548503247403399,1,1,10,1,1,1,7,0,0
C1E052_FINAL_SAM_treated.txt,C1,52,SAM,2080,430,0.12819731215090685,0.1380682989806256,0.04439254431185504,0.12908041133594528,0.15910578362725145,0.08674544329785994,0.06590519907834927,0.24850500721720659,2,2,10,0,1,1,14,0,0
C1E053_FINAL_SAM_treated.txt,C1,53,SAM,2869,552,0.09744653648063493,0.14804137969853773,0.07493536934959252,0.1865986386352579,0.131766115446625,0.11241109516285316,0.05166833520289803,0.1971325300236008,1,1,1,0,2,3,7,0,0
C1E054_FINAL_SAM_treated.txt,C1,54,SAM,2568,527,0.10457157441279515,0.1356429670763115,0.07741745875838175,0.14394156180635578,0.1631489802705358,0.08201532881151438,0.05810949813997014,0.23515263072413548,6,3,6,5,0,5,5,0,0
C1E055_FINAL_SAM_treated.txt,C1,55,SAM,2662,502,0.13959109380291226,0.11362597358618355,0.12316288520149003,0.1806171689806976,0.1293091771080257,0.10549441246190315,0.043548933288181504,0.1646503555706062,3,4,12,1,1,6,0,1,0
C1E056_FINAL_SAM_treated.txt,C1,56,SAM,2985,632,0.05788746012669095,0.13410082864191286,0.07904177548051292,0.09091566286834805,0.23470355945528318,0.06281232209500918,0.054462647858814606,0.2860757434734283,1,4,3,4,0,1,6,4,0
C1E057_FINAL_SAM_treated.txt,C1,57,SAM,1605,400,0.07501309128992843,0.1502356432187118,0.03237912375632746,0.11058648978879386,0.2217489963344389,0.08742363414208411,0.06259382091115376,0.26001920055856165,1,1,7,0,2,2,4,2,0
C1E058-5_FINAL_SAM_treated.txt,C1,Others,SAM,3818,707,0.13214280854075092,0.16722235074779196,0.06187825755616945,0.169073118952683,0.14435651783405687,0.08043016752173976,0.06186464896642761,0.18303212988038045,6,0,2,0,0,0,5,0,0
C1E058_FINAL_SAM_treated.txt,C1,58,SAM,2065,469,0.1178116402335715,0.12824152992440532,0.059776272907675,0.11856292389237472,0.2050175385874831,0.09058926545183234,0.05544991528629088,0.22455091371636718,2,0,0,1,1,7,5,2,0
C1E059_FINAL_SAM_treated.txt,C1,59,SAM,1507,408,0.0973167028745418,0.16446204044657317,0.049539083535342525,0.16192888717402426,0.15270216995613115,0.12406579488168831,0.048448653318682436,0.2015366678130164,1,2,8,1,0,2,5,5,0
C1E060_FINAL_SAM_treated.txt,C1,60,SAM,1049,297,0.06278509057734914,0.14987618923497978,0.034601850645119246,0.12135084060993091,0.19379642903688257,0.06891046526782223,0.05793040531734653,0.31074872931056957,1,0,1,1,1,3,0,0,0
C1E061_FINAL_SAM_treated.txt,C1,61,SAM,3028,625,0.11873281888840828,0.15853718097204972,0.08003781588825476,0.1487762164575862,0.17644042253324585,0.0837426566010354,0.052031731856048445,0.18170115680337134,3,4,16,7,0,4,0,0,0
C1E062_FINAL_SAM_treated.txt,C1,62,SAM,1325,336,0.10542320337259468,0.1848509680413084,0.05826019133748654,0.14524075152783675,0.1716508535152586,0.07548846347507576,0.04688656984608094,0.21219899888435828,3,2,4,0,0,3,9,0,0
C1E063_FINAL_SAM_treated.txt,C1,63,SAM,3433,676,0.1274243462994881,0.16338187899252274,0.05772619223055879,0.12786644711128767,0.16170958461745463,0.07498093840702752,0.06394763988646339,0.22296297245519728,2,7,7,6,2,2,1,3,0
C1E064_FINAL_SAM_treated.txt,C1,64,SAM,3598,692,0.06953797689884493,0.14498774938746936,0.031907595379768984,0.17382569128456424,0.1889534476723836,0.08569128456422821,0.0627966398319916,0.24229961498074906,3,0,8,6,0,0,2,2,5
C1E065-5_FINAL_SAM_treated.txt,C1,Others,SAM,3126,588,0.14258090849971636,0.10968134711441338,0.11660647821454766,0.2269623510854676,0.10584173896199132,0.10050779682592392,0.07026482918932381,0.1275545501086159,4,0,0,0,0,0,0,0,0
C1E065_FINAL_SAM_treated.txt,C1,65,SAM,2891,620,0.0877024899531839,0.1552595600116004,0.04515370592865725,0.16290860504619467,0.16409454364668352,0.09563118863156152,0.05916746074491444,0.2300824460372043,5,1,5,1,0,2,0,0,0
C1E066_FINAL_SAM_treated.txt,C1,66,SAM,3279,661,0.10573390688849318,0.14851729412345194,0.06535927190192746,0.17335390715762747,0.16224763049650792,0.08351686799409701,0.06367718234299377,0.19759393909490128,3,2,3,2,0,3,0,1,0
C1E067_FINAL_SAM_treated.txt,C1,67,SAM,3415,701,0.10848040736617331,0.1580414666642332,0.05253143764486868,0.13622218977569306,0.1667700899782811,0.10116624993155812,0.06556277490828784,0.21122538373090477,1,5,13,2,0,1,0,1,0
C1E068_FINAL_SAM_treated.txt,C1,68,SAM,2636,568,0.12952486626360143,0.14117137291903736,0.06639642667681755,0.13441672302290833,0.1539801005098384,0.11016396629154335,0.05960938037830899,0.2047371639379447,1,3,14,2,1,2,2,8,0
C1E069_FINAL_SAM_treated.txt,C1,69,SAM,2148,498,0.0905405991242901,0.12711882776260458,0.0711785234317423,0.1358759266484589,0.16091711102440717,0.12633307322148524,0.037970910824988074,0.2500650279620237,2,0,3,1,0,0,6,9,0
C1E070_FINAL_SAM_treated.txt,C1,70,SAM,3063,588,0.08720287672988207,0.1676423949256791,0.030817529472065605,0.2383192913890313,0.11235424141465919,0.10943506535110199,0.043499327268067656,0.210729273449513,1,1,10,0,0,0,0,3,2
C1E071_FINAL_SAM_treated.txt,C1,71,SAM,4379,795,0.13964357721817025,0.1498382971813643,0.05648367410454525,0.17528314907782036,0.14186546866754168,0.09409344934439319,0.06062976143759894,0.18216262296856608,6,3,3,3,1,4,13,4,0
C1E072_FINAL_SAM_treated.txt,C1,72,SAM,2084,533,0.1147744989058775,0.14317274551339865,0.008305543320958914,0.17160594811132784,0.18798632521655234,0.11122996147849859,0.06745807028950551,0.19546690716388068,0,1,9,2,0,2,0,1,2
C1E073_FINAL_SAM_treated.txt,C1,73,SAM,2665,575,0.10490571556538668,0.15227644580130342,0.061351151248137614,0.18145754686800178,0.13500543860771644,0.09132747730866614,0.0674433059422502,0.20623291865853768,0,5,2,0,0,0,0,3,0
C1E074_FINAL_SAM_treated.txt,C1,74,SAM,3263,666,0.11731649729591752,0.14218767448909592,0.0679769634510154,0.16839095129460932,0.14551792351993362,0.09148413445431774,0.08245457301022606,0.18467128248488432,0,3,3,1,1,0,3,0,0
C1E075_FINAL_SAM_treated.txt,C1,75,SAM,3474,682,0.13035166873653925,0.17325934193771517,0.03973841002342363,0.14325824149911182,0.14646523400040873,0.10950936158840455,0.05864080111930326,0.19877694109509364,4,2,1,6,0,5,1,2,0
C1E076_FINAL_SAM_treated.txt,C1,76,SAM,3142,645,0.1846911789674214,0.09601754249652518,0.1250938851622595,0.18634298228196342,0.10640318389405434,0.09406358003907922,0.05432245848189491,0.15306518867680186,4,4,5,3,0,3,6,2,0
C1E077_FINAL_SAM_treated.txt,C1,77,SAM,2639,584,0.15585816367803693,0.13446851033793586,0.04010659137593287,0.18833918898555788,0.12426539983662334,0.11141733220185741,0.06158745013442885,0.18395736344962685,5,3,2,1,0,2,2,0,0
